Department,Location,Part,Heci,Description,Qty,UOM,Manufacturer,Notes,Alternative Part Number
FIBER CABLE,G-1,LC/LC-SMD-010M-FCD-VT,,LC/UPC-LC/UPC SINGLE MODE DUPLEX 1.8MM 10 METER,27,EA,,10M = 33FT.,GS-LC2-SMD-10
FIBER CABLE,G-1,LC/SC-SMD-015M-FCD-VT,,LC/UPC-SC/UPC SINGLE MODE DUPLEX 9/125 1.8MM 15 METER,11,EA,,15M = 50FT.,FB5-2855-LC/SC-15M
FIBER CABLE,G-1,LC/LC-SMD-05M-FCD-VT,,LC/UPC-LC/UPC SINGLE MODE 9/125 OS2 DUPLEX 1.8MM 5 METER,7,EA,,5M = 16.5FT.,FB4-2595-LC/LC-5M
FIBER CABLE,G-1,SMDZ2M4146-050F,,LC/UPC-LC/UPC SINGLE MODE DUPLEX 2.0MM 50FT.,5,EA,,50FT. = 15M,SMDZ2M4146-050F
FIBER CABLE,G-1,FSPDA11.O6M,,LC/UPC-LC/UPC SINGLE MODE DUPLEX 2.0MM 6.0 METER,5,EA,,6M = 20FT.,FSPDA11.O6M
FIBER CABLE,G-1,12753-A-02M-2J-LCFLX,,LC/LC SINGLE MODE DUPLEX 2 METER 8.33UM OFNR 2MM,20,EA,,2M = 6.5FT.,12753-A-02M-2J-LCFLX
FIBER CABLE,G-1,CAX-LCLC-SML-20M-1.6,,LC/UPC-LC/UPC SINGLE MODE DUPLEX 1.6MM 20 METER,20,EA,,20M = 65.5FT.,CAX-LCLC-SML-20M-1.6
FIBER CABLE,G-1,FEG024-NE2E2036B024AA-040FSO,,"CABEL ASSEMBLY,LC UPC 0.9MM 24"", LC UPC 1.2MM 36"" SM BIF24F 40FT.",7,EA,,CABLE ASSEMBLY,FEG024-NE2E2036B024AA-040FSO
FIBER CABLE,G-1,FTR-50689-0004M,,LC/UPC-SC/UPC SINGLE MODE FIBER DXZIP 1.6MM OFNR,1,EA,,4M = 13FT.,FTR-50689-0004M
FIBER CABLE,G-1,FTR-50690-0004M,,SC/UPC-SC/UPC SINGLE MODE FIBER DXZIP 1.6MM OFNR,3,EA,,4M = 13FT.,FTR-50690-0004M
FIBER CABLE,G-1,FTR-50690-0003M,,SC/UPC-SC/UPC SINGLE MODE FIBER DXZIP 1.6MM OFNR,3,EA,,3M = 10FT.,FTR-50690-0003M
FIBER CABLE,G-1,FTR-50690-0005M,,SC/UPC-SC/UPC SINGLE MODE FIBER DXZIP 1.6MM OFNR,3,EA,,5M = 16.5FT.,FTR-50690-0005M
FIBER CABLE,G-1,FTR-50572-0010M,,LC/UPC-SC/UPC BIF DIST 2.0MM OFNR,4,EA,,10M = 33FT.,FTR-50572-0010M
FIBER CABLE,G-1,025801G21V2035M,,IF SFR LC/UPC-SC/UPC 1.0MM 35 METER,1,EA,,35M = 115FT.,025801G21V2035M
FIBER CABLE,G-1,,,IF XB2.0 LC/UPC-SC/UPC 2.0MM 3 METER,2,EA,,3M = 10FT.,LCF-SC-SMD-03
FIBER CABLE,G-1,LC/SC-SMD-03M-FCD-VT,,LC FLEX BTS/SC SINGLE MODE DUPLEX 9/125 3 METER,26,EA,,3M = 10FT.,
FIBER CABLE,G-1,SC/SC-SMD-022M-FCD-VT,,SC/UPC-SC/UPC SINGLE MODE DUPLEX 22 METER,1,EA,,22M = 72FT.,
FIBER CABLE,G-1,SC/ST-SFR-010M-FCD-VT,,SC/UPC-ST/UPC SINGLE FIBER RISER 10 METER,2,EA,,10M = 33FT.,
FIBER CABLE,G-1,LC/SC-SMD-07M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX 7 METER,2,EA,,7M = 23FT.,
FIBER CABLE,G-1,LC/SC-SMD-022M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX 22 METER,6,EA,,22M = 72FT.,
FIBER CABLE,G-1,FC/LC-SMD-012M-FCD-VT,,LC/UPC-FC/UPC SINGLE MODE DUPLEX 12 METER,9,EA,,12M = 39.5FT.,
FIBER CABLE,G-1,LC/SC-SFR-010M-FCD-VT,,SC/UPC-LC/UPC SINGLR FIBER RISOR 10 METER,1,EA,,10M = 33FT.,
FIBER CABLE,G-1,LC/SC-SFR-035M-FCD-VT,,SC/UPC-LC/UPC SINGLE FIBER RISOR 35 METER,1,EA,,35M = 115FT.,
FIBER CABLE,G-1,LC/SC-SMD-020M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX 20 METER,4,EA,,20M = 65FT.,
